accuracy,loss,val_accuracy,val_loss
0.667187511920929,0.6723079681396484,0.6187499761581421,0.6582733988761902
0.682812511920929,0.6108959913253784,0.706250011920929,0.5453728437423706
0.6875,0.5796122550964355,0.7250000238418579,0.519983172416687
0.692187488079071,0.5654362440109253,0.699999988079071,0.5599191784858704
0.7171875238418579,0.5449774265289307,0.699999988079071,0.5532394051551819
0.734375,0.5115600228309631,0.6875,0.5490425825119019
0.731249988079071,0.5169939398765564,0.706250011920929,0.5590812563896179
0.7281249761581421,0.510917067527771,0.668749988079071,0.5745896100997925
0.7484375238418579,0.4934391975402832,0.7250000238418579,0.5456052422523499
0.7406250238418579,0.49582433700561523,0.7437499761581421,0.5261419415473938
0.7906249761581421,0.4524778723716736,0.699999988079071,0.6221799850463867
0.762499988079071,0.46571865677833557,0.71875,0.5496670007705688
0.754687488079071,0.48090285062789917,0.6875,0.6284120678901672
